,Weight_image1,Best_objective_value,Observed
0,0.5,,observed
1,0.006611575198062436,32.58157308353864,interpolated
2,0.058641496763906176,21.960694256132516,interpolated
3,0.04638882821767698,23.11760856730319,interpolated
4,0.8545319588106622,18.090965686749414,interpolated
5,0.01835773089276782,26.78188727434834,interpolated
6,0.5,,observed
7,0.9861476172132244,27.55619411413196,interpolated
8,0.09937303804943143,19.029860797721156,interpolated
9,0.9082985474254819,19.374439532474852,interpolated
10,0.016986112707040313,26.89398651387415,interpolated
11,0.955281806695966,21.64012058025211,interpolated
12,0.06623429859202257,20.96022765335078,interpolated
13,0.976493201873005,24.312058802019784,interpolated
14,0.024491262475991427,24.256115522688848,interpolated
15,0.03164834123856042,22.8626982323577,interpolated
16,0.22308982862206905,15.686550153713053,interpolated
17,0.9292878999018135,19.53276798000778,interpolated
18,0.11147055370944836,18.792911648247447,interpolated
19,0.001685001967423383,34.85243746661797,interpolated
20,0.8623936317510771,17.520227465061232,interpolated
21,0.8582356248863595,17.919916579101937,interpolated
22,0.05688005646848382,19.260381117078445,interpolated
23,0.5,,observed
24,0.007083313839466032,29.538969599902757,interpolated
25,0.096218545810425,18.958360443106148,interpolated
26,0.5,,observed
27,0.920635978161214,18.427466308467277,interpolated
28,0.007690662200562359,29.137900465955262,interpolated
29,0.8969846580295835,17.84020291025968,interpolated
30,0.06413819841034707,20.02780210390525,interpolated
31,0.012895291822882515,27.09016258051429,interpolated
32,0.9464859759072447,20.46359491831465,interpolated
33,0.011368688747954825,28.58137052251086,interpolated
34,0.04610500891410929,20.335156184093094,interpolated
35,0.9551124831215269,22.247796500882295,interpolated
36,0.03592394301447244,21.755065554427606,interpolated
37,0.9850416509168535,27.002002059680393,interpolated
38,0.03435416021094195,23.38510059198928,interpolated
39,0.9710227879266156,24.88320765092398,interpolated
40,0.027441507103572627,25.6062041619142,interpolated
41,0.008570254209627759,29.6474905807939,interpolated
42,0.09648576720833302,19.231510263765383,interpolated
43,0.008947945752476039,31.71291078495452,interpolated
44,0.011098433869818902,29.69686056578048,interpolated
45,0.9955283944876572,30.29924199221231,interpolated
46,0.5,,observed
47,0.0008042183770252676,38.45469907365332,interpolated
48,0.5,,observed
49,0.06309260723420651,18.482803576311973,interpolated
50,0.9857507505075181,27.775938895639683,interpolated
51,0.022443731125107558,26.20189849238568,interpolated
52,0.5,,observed
53,0.9626815722696026,22.566371397266128,interpolated
54,0.9808054553737042,25.16852768965622,interpolated
55,0.8781089374553736,18.33819053717282,interpolated
56,0.06178661628661286,20.817676284038896,interpolated
57,0.5,,observed
58,0.9980029969571815,36.21871669907008,interpolated
59,0.040497266341105065,22.756542169005666,interpolated
60,0.5,,observed
61,0.022544478107951793,26.472674924374918,interpolated
62,0.035823739536144594,24.080718525595497,interpolated
63,0.03729060020325525,25.571437858371482,interpolated
64,0.9198403834051344,22.218004376232578,interpolated
65,0.9940817388520523,32.58080365942232,interpolated
66,0.048243955730814525,23.931544665229225,interpolated
67,0.047148414107876846,21.94923724164873,interpolated
68,0.9995567243275741,41.74464119630767,interpolated
69,0.5,,observed
70,0.012126834834855105,28.19994948786527,interpolated
71,0.5,,observed
72,0.028639807333549427,24.05224909953374,interpolated
73,0.5,,observed
74,0.9382385108388905,20.7554325148256,interpolated
75,0.5,,observed
76,0.0038938223555919915,32.97426301813507,interpolated
77,0.5,,observed
78,0.8183464049501046,16.33080053526343,interpolated
79,0.5,,observed
80,0.07051507636419418,19.23513597836906,interpolated
81,0.5,,observed
82,0.09224045943458614,17.283585752784532,interpolated
83,0.03980141255013714,21.318362339585157,interpolated
84,0.5,,observed
85,0.10028854178764424,17.690723678988448,interpolated
86,0.5,,observed
87,0.06469912988810766,19.439146368824687,interpolated
88,0.9575436617456797,20.930671968212508,interpolated
