,Weight_image1,Best_objective_value,Observed
0,0.5,,observed
1,0.7893499051419428,0.18858539942550184,interpolated
2,0.9410338553591654,0.24150361258087266,interpolated
3,0.5354617667071474,0.20638096461034872,interpolated
4,0.8545319588106622,0.24852925355393338,interpolated
5,0.8964606047339968,0.23076056964568092,interpolated
6,0.5,,observed
7,0.9861476172132244,0.25625161011505565,interpolated
8,0.8597590367166505,0.26096663623591343,interpolated
9,0.9082985474254819,0.2664463999905919,interpolated
10,0.9034324903171026,0.24624574930225218,interpolated
11,0.955281806695966,0.3052798638229293,interpolated
12,0.7211361954017922,0.24144875830818918,interpolated
13,0.976493201873005,0.323122686692052,interpolated
14,0.7484201824116677,0.2905970434693821,interpolated
15,0.8997082393584815,0.3177881009251049,interpolated
16,0.750095126571872,0.29034876855451774,interpolated
17,0.9292878999018135,0.33796199016289025,interpolated
18,0.8233062569799193,0.2674423854611231,interpolated
19,0.8880741464011477,0.3670790872002586,interpolated
20,0.8623936317510771,0.2966149404991153,interpolated
21,0.8582356248863595,0.27024568722338127,interpolated
22,0.798560532441106,0.42376985285713104,interpolated
23,0.5,,observed
24,0.9795878126129179,0.32351053970893406,interpolated
25,0.6388696146590664,0.2694282849800427,interpolated
26,0.5,,observed
27,0.920635978161214,0.4109637013010689,interpolated
28,0.9450949292551057,0.3374412850849144,interpolated
29,0.8969846580295835,0.3700778400914674,interpolated
30,0.9047039394462055,0.34990318322949443,interpolated
31,0.956921626421865,0.3289346721135658,interpolated
32,0.9464859759072447,0.3836045423217053,interpolated
33,0.7191812180341531,0.2587558601828662,interpolated
34,0.8976533448618891,0.44570206944532437,interpolated
35,0.9551124831215269,0.3027347299628184,interpolated
36,0.7541168409629745,0.3811409724854528,interpolated
37,0.9850416509168535,0.30167415878766063,interpolated
38,0.9648782709453699,0.3004628331152194,interpolated
39,0.9710227879266156,0.263646186139732,interpolated
40,0.808543727783171,0.23150138839487802,interpolated
41,0.7812168111727239,0.2726529882592431,interpolated
42,0.897673820806398,0.3051738064334422,interpolated
43,0.9080289922175506,0.18547696933588112,interpolated
44,0.9790515547200047,0.23367037865005225,interpolated
45,0.9955283944876572,0.4800730599795912,interpolated
46,0.5,,observed
47,0.9787253980931184,0.39589593880251406,interpolated
48,0.5,,observed
49,0.8827684696689828,0.5118405766719821,interpolated
50,0.9857507505075181,0.27554287546554934,interpolated
51,0.920052809330324,0.24468636078301675,interpolated
52,0.5,,observed
53,0.9626815722696026,0.32618954154888696,interpolated
54,0.9808054553737042,0.3570671255550504,interpolated
55,0.8781089374553736,0.296160192973622,interpolated
56,0.7740738078562404,0.29366723028147634,interpolated
57,0.5,,observed
58,0.9980029969571815,0.2768973941798659,interpolated
59,0.8634477354031244,0.2986238639817966,interpolated
60,0.5,,observed
61,0.9289375215326832,0.2360109361958836,interpolated
62,0.9539000286225536,0.2640029327735458,interpolated
63,0.9463612543298516,0.19189708100829958,interpolated
64,0.9198403834051344,0.195338610345855,interpolated
65,0.9940817388520523,0.219999654634525,interpolated
66,0.9345705166128193,0.2021588246984055,interpolated
67,0.939460858566093,0.3022632724404192,interpolated
68,0.9995567243275741,0.3154870147990307,interpolated
69,0.5,,observed
70,0.9787198202433481,0.27457248654073724,interpolated
71,0.5,,observed
72,0.9443912683810393,0.30306264809112937,interpolated
73,0.5,,observed
74,0.9382385108388905,0.30400414953516397,interpolated
75,0.5,,observed
76,0.9360345826337854,0.2754453815616787,interpolated
77,0.5,,observed
78,0.8183464049501046,0.3018833865401915,interpolated
79,0.5,,observed
80,0.9022495232302244,0.36394750545268967,interpolated
81,0.5,,observed
82,0.8451061035879338,0.4184119825132514,interpolated
83,0.8759087509595828,0.3651383985698837,interpolated
84,0.5,,observed
85,0.8588682583244861,0.3675318149633948,interpolated
86,0.5,,observed
