,Weight_image1,Best_objective_value,Observed
0,0.5,,observed
1,0.006611575198062436,0.04146169314020666,interpolated
2,0.058641496763906176,0.051301801882154954,interpolated
3,0.04638882821767698,0.05025663201788332,interpolated
4,0.8545319588106622,0.04690730152233055,interpolated
5,0.01835773089276782,0.05611361539388122,interpolated
6,0.5,,observed
7,0.9861476172132244,0.062496507379791615,interpolated
8,0.09937303804943143,0.057347658899418834,interpolated
9,0.9082985474254819,0.05778070535485569,interpolated
10,0.016986112707040313,0.05917898926984187,interpolated
11,0.955281806695966,0.07337624963998648,interpolated
12,0.06623429859202257,0.05679130302136529,interpolated
13,0.976493201873005,0.07699997868322299,interpolated
14,0.024491262475991427,0.07479143946976963,interpolated
15,0.03164834123856042,0.07922201635980201,interpolated
16,0.22308982862206905,0.05088806252388849,interpolated
17,0.9292878999018135,0.073596507189568,interpolated
18,0.11147055370944836,0.05345309031022225,interpolated
19,0.001685001967423383,0.09691684673715972,interpolated
20,0.8623936317510771,0.0568765246213195,interpolated
21,0.8582356248863595,0.05020054444515349,interpolated
22,0.05688005646848382,0.09865420392782653,interpolated
23,0.5,,observed
24,0.007083313839466032,0.07794180701662942,interpolated
25,0.096218545810425,0.060371665928709246,interpolated
26,0.5,,observed
27,0.920635978161214,0.08392731703643222,interpolated
28,0.007690662200562359,0.07868463053611581,interpolated
29,0.8969846580295835,0.07253094641586358,interpolated
30,0.06413819841034707,0.0728315630264342,interpolated
31,0.012895291822882515,0.07480998017861798,interpolated
32,0.9464859759072447,0.07973399974722824,interpolated
33,0.011368688747954825,0.06028569985837263,interpolated
34,0.04610500891410929,0.09598876860174342,interpolated
35,0.9551124831215269,0.06354434438733286,interpolated
36,0.03592394301447244,0.08970022152228807,interpolated
37,0.9850416509168535,0.06568139412477689,interpolated
38,0.03435416021094195,0.06454277639315947,interpolated
39,0.9710227879266156,0.0544764037494896,interpolated
40,0.027441507103572627,0.04877563255192381,interpolated
41,0.008570254209627759,0.06273675366906409,interpolated
42,0.09648576720833302,0.05652174507391298,interpolated
43,0.008947945752476039,0.03733263908865495,interpolated
44,0.011098433869818902,0.04777827633381102,interpolated
45,0.9955283944876572,0.10390728054913374,interpolated
46,0.5,,observed
47,0.0008042183770252676,0.08867299152826925,interpolated
48,0.5,,observed
49,0.06309260723420651,0.1057724971653488,interpolated
50,0.9857507505075181,0.057735241666661476,interpolated
51,0.022443731125107558,0.052246273095354685,interpolated
52,0.5,,observed
53,0.9626815722696026,0.07153931030070994,interpolated
54,0.9808054553737042,0.0777479063465419,interpolated
55,0.8781089374553736,0.0538289488176877,interpolated
56,0.06178661628661286,0.06316678940079001,interpolated
57,0.5,,observed
58,0.9980029969571815,0.05968412417095717,interpolated
59,0.040497266341105065,0.06290845489746551,interpolated
60,0.5,,observed
61,0.022544478107951793,0.04886421867258925,interpolated
62,0.035823739536144594,0.052660280859936105,interpolated
63,0.03729060020325525,0.03584039781823878,interpolated
64,0.9198403834051344,0.03469063558733285,interpolated
65,0.9940817388520523,0.046358834772697616,interpolated
66,0.048243955730814525,0.03999562940921569,interpolated
67,0.047148414107876846,0.06466456881566728,interpolated
68,0.9995567243275741,0.07544517599739431,interpolated
69,0.5,,observed
70,0.012126834834855105,0.06165889868664345,interpolated
71,0.5,,observed
72,0.028639807333549427,0.06676246750003707,interpolated
73,0.5,,observed
74,0.9382385108388905,0.06410618823988727,interpolated
75,0.5,,observed
76,0.0038938223555919915,0.06448750778888332,interpolated
77,0.5,,observed
78,0.8183464049501046,0.055013805733691475,interpolated
79,0.5,,observed
80,0.07051507636419418,0.0790513558248754,interpolated
81,0.5,,observed
82,0.09224045943458614,0.09292273499482691,interpolated
83,0.03980141255013714,0.08919530950412537,interpolated
84,0.5,,observed
85,0.10028854178764424,0.07728809551947052,interpolated
86,0.5,,observed
87,0.06469912988810766,0.0826383014966757,interpolated
88,0.9575436617456797,0.09119520976403309,interpolated
89,0.9735915144843518,0.09252531740665972,interpolated
90,0.995290299650306,0.08107953687432265,interpolated
91,0.9502256119539749,0.07877745633022841,interpolated
92,0.5,,observed
93,0.050794957372338634,0.10726867895660956,interpolated
94,0.10533287931730784,0.07651438432788679,interpolated
95,0.9813266161928025,0.04047235733323615,interpolated
96,0.030126471004791044,0.05084869554891176,interpolated
97,0.9709919106595096,0.12224770780193552,interpolated
98,0.8874776768556298,0.046055303094348826,interpolated
99,0.9460180895431303,0.10552986312439315,interpolated
100,0.006922839177296969,0.05828593652902011,interpolated
101,0.9904628604864071,0.09080843052039934,interpolated
102,0.9327475728674399,0.049561290641471425,interpolated
103,0.012739065851998355,0.12335706766139012,interpolated
104,0.9517549862736866,0.13470153610951457,interpolated
105,0.016405422745046194,0.13758077362486007,interpolated
106,0.7921179421691749,0.06916288654990012,interpolated
107,0.5,,observed
108,0.03016695315517559,0.07793528040826538,interpolated
